colour	x	y	fill
#132B43	1	0.34	#132B43
#132B43	1	0.35	#132B43
#132B43	1	0.41	#132B43
#132B43	1	0.4	#132B43
#132B43	1	0.38	#132B43
#132B43	1	0.36	#132B43
#132B43	2	0.36	#132B43
#132B43	2	0.36	#132B43
#132B43	2	0.41	#132B43
#132B43	2	0.38	#132B43
#132B43	2	0.38	#132B43
#132B43	2	0.37	#132B43
#132B43	4	10.01	#132B43
#132B43	4	9.74	#132B43
#132B43	4	9.59	#132B43
#132B43	4	9.47	#132B43
#132B43	4	9.48	#132B43
#132B43	4	9.53	#132B43
#132B43	3	4.68	#132B43
#132B43	3	4.96	#132B43
#132B43	3	5.04	#132B43
#132B43	3	5.29	#132B43
#132B43	3	5.22	#132B43
#132B43	3	5.22	#132B43
#132B43	5	0.42	#132B43
#132B43	5	0.46	#132B43
#132B43	5	0.51	#132B43
#132B43	5	0.53	#132B43
#132B43	5	0.55	#132B43
#132B43	5	0.53	#132B43
#132B43	6	0	#132B43
#132B43	6	0	#132B43
#132B43	6	0	#132B43
#132B43	6	0	#132B43
#132B43	6	0	#132B43
#132B43	6	0	#132B43
#132B43	7	2.8	#132B43
#132B43	7	2.65	#132B43
#132B43	7	2.64	#132B43
#132B43	7	2.76	#132B43
#132B43	7	2.75	#132B43
#132B43	7	2.76	#132B43
#132B43	8	0	#132B43
#132B43	8	0	#132B43
#132B43	8	0	#132B43
#132B43	8	0	#132B43
#132B43	8	0	#132B43
#132B43	8	0	#132B43
#132B43	9	0.03	#132B43
#132B43	9	0.07	#132B43
#132B43	9	0.08	#132B43
#132B43	9	0.09	#132B43
#132B43	9	0.07	#132B43
#132B43	9	0.09	#132B43
#132B43	10	0.22	#132B43
#132B43	10	0.2	#132B43
#132B43	10	0.21	#132B43
#132B43	10	0.2	#132B43
#132B43	10	0.24	#132B43
#132B43	10	0.22	#132B43
#132B43	11	30.16	#132B43
#132B43	11	29.8	#132B43
#132B43	11	29.59	#132B43
#132B43	11	29.02	#132B43
#132B43	11	29.48	#132B43
#132B43	11	29.69	#132B43
#132B43	12	8.59	#132B43
#132B43	12	8.72	#132B43
#132B43	12	8.67	#132B43
#132B43	12	8.44	#132B43
#132B43	12	8.48	#132B43
#132B43	12	8.53	#132B43
#132B43	13	0	#132B43
#132B43	13	0	#132B43
#132B43	13	0	#132B43
#132B43	13	0	#132B43
#132B43	13	0	#132B43
#132B43	13	0	#132B43
#132B43	14	0.24	#132B43
#132B43	14	0.22	#132B43
#132B43	14	0.15	#132B43
#132B43	14	0.11	#132B43
#132B43	14	0.08	#132B43
#132B43	14	0.08	#132B43
#132B43	15	0.16	#132B43
#132B43	15	0.15	#132B43
#132B43	15	0.19	#132B43
#132B43	15	0.22	#132B43
#132B43	15	0.23	#132B43
#132B43	15	0.21	#132B43
#132B43	16	2.1	#132B43
#132B43	16	2.03	#132B43
#132B43	16	2.1	#132B43
#132B43	16	2.23	#132B43
#132B43	16	2.2	#132B43
#132B43	16	2.14	#132B43
#132B43	17	0.19	#132B43
#132B43	17	0.18	#132B43
#132B43	17	0.19	#132B43
#132B43	17	0.2	#132B43
#132B43	17	0.22	#132B43
#132B43	17	0.21	#132B43
#132B43	18	7.33	#132B43
#132B43	18	7.07	#132B43
#132B43	18	7	#132B43
#132B43	18	7.15	#132B43
#132B43	18	7.03	#132B43
#132B43	18	7.04	#132B43
#132B43	19	18.62	#132B43
#132B43	19	19.14	#132B43
#132B43	19	19.42	#132B43
#132B43	19	19.28	#132B43
#132B43	19	19.36	#132B43
#132B43	19	19.68	#132B43
#132B43	20	0.16	#132B43
#132B43	20	0.15	#132B43
#132B43	20	0.08	#132B43
#132B43	20	0.12	#132B43
#132B43	20	0.12	#132B43
#132B43	20	0.04	#132B43
#132B43	21	2.51	#132B43
#132B43	21	2.62	#132B43
#132B43	21	2.71	#132B43
#132B43	21	2.91	#132B43
#132B43	21	2.83	#132B43
#132B43	21	2.7	#132B43
#132B43	22	0.39	#132B43
#132B43	22	0.4	#132B43
#132B43	22	0.4	#132B43
#132B43	22	0.42	#132B43
#132B43	22	0.41	#132B43
#132B43	22	0.39	#132B43
#132B43	23	0.33	#132B43
#132B43	23	0.4	#132B43
#132B43	23	0.41	#132B43
#132B43	23	0.46	#132B43
#132B43	23	0.44	#132B43
#132B43	23	0.42	#132B43
#132B43	24	0.24	#132B43
#132B43	24	0.19	#132B43
#132B43	24	0.17	#132B43
#132B43	24	0.12	#132B43
#132B43	24	0.17	#132B43
#132B43	24	0.19	#132B43
#132B43	25	0.17	#132B43
#132B43	25	0.17	#132B43
#132B43	25	0.13	#132B43
#132B43	25	0.14	#132B43
#132B43	25	0.15	#132B43
#132B43	25	0.12	#132B43
#132B43	26	0	#132B43
#132B43	26	0	#132B43
#132B43	26	0	#132B43
#132B43	26	0	#132B43
#132B43	26	0	#132B43
#132B43	26	0	#132B43
#132B43	27	0	#132B43
#132B43	27	0	#132B43
#132B43	27	0	#132B43
#132B43	27	0	#132B43
#132B43	27	0	#132B43
#132B43	27	0	#132B43
#132B43	28	1.43	#132B43
#132B43	28	1.45	#132B43
#132B43	28	1.54	#132B43
#132B43	28	1.61	#132B43
#132B43	28	1.5	#132B43
#132B43	28	1.45	#132B43
#132B43	29	8.5	#132B43
#132B43	29	8.51	#132B43
#132B43	29	8.38	#132B43
#132B43	29	8.46	#132B43
#132B43	29	8.21	#132B43
#132B43	29	8.06	#132B43
