colour	x	y	fill
#56B1F7	1	0.46	#56B1F7
#56B1F7	1	0.46	#56B1F7
#56B1F7	1	0.46	#56B1F7
#56B1F7	1	0.46	#56B1F7
#56B1F7	1	0.48	#56B1F7
#56B1F7	2	0.85	#56B1F7
#56B1F7	2	0.89	#56B1F7
#56B1F7	2	0.93	#56B1F7
#56B1F7	2	0.95	#56B1F7
#56B1F7	2	1.02	#56B1F7
#56B1F7	4	6.84	#56B1F7
#56B1F7	4	6.84	#56B1F7
#56B1F7	4	6.86	#56B1F7
#56B1F7	4	6.73	#56B1F7
#56B1F7	4	6.55	#56B1F7
#56B1F7	3	6.93	#56B1F7
#56B1F7	3	6.92	#56B1F7
#56B1F7	3	6.81	#56B1F7
#56B1F7	3	6.82	#56B1F7
#56B1F7	3	6.92	#56B1F7
#56B1F7	5	0.39	#56B1F7
#56B1F7	5	0.37	#56B1F7
#56B1F7	5	0.37	#56B1F7
#56B1F7	5	0.39	#56B1F7
#56B1F7	5	0.4	#56B1F7
#56B1F7	6	0.82	#56B1F7
#56B1F7	6	0.82	#56B1F7
#56B1F7	6	0.8	#56B1F7
#56B1F7	6	0.81	#56B1F7
#56B1F7	6	0.78	#56B1F7
#56B1F7	7	0	#56B1F7
#56B1F7	7	0.02	#56B1F7
#56B1F7	7	0.09	#56B1F7
#56B1F7	7	0.13	#56B1F7
#56B1F7	7	0.16	#56B1F7
#56B1F7	8	1.92	#56B1F7
#56B1F7	8	1.93	#56B1F7
#56B1F7	8	1.9	#56B1F7
#56B1F7	8	1.96	#56B1F7
#56B1F7	8	1.95	#56B1F7
#56B1F7	9	0.39	#56B1F7
#56B1F7	9	0.36	#56B1F7
#56B1F7	9	0.37	#56B1F7
#56B1F7	9	0.33	#56B1F7
#56B1F7	9	0.37	#56B1F7
#56B1F7	10	0.32	#56B1F7
#56B1F7	10	0.35	#56B1F7
#56B1F7	10	0.34	#56B1F7
#56B1F7	10	0.34	#56B1F7
#56B1F7	10	0.32	#56B1F7
#56B1F7	11	16.63	#56B1F7
#56B1F7	11	16.6	#56B1F7
#56B1F7	11	16.42	#56B1F7
#56B1F7	11	16.35	#56B1F7
#56B1F7	11	16.35	#56B1F7
#56B1F7	12	9.55	#56B1F7
#56B1F7	12	9.57	#56B1F7
#56B1F7	12	9.54	#56B1F7
#56B1F7	12	9.52	#56B1F7
#56B1F7	12	9.52	#56B1F7
#56B1F7	13	0.39	#56B1F7
#56B1F7	13	0.39	#56B1F7
#56B1F7	13	0.42	#56B1F7
#56B1F7	13	0.43	#56B1F7
#56B1F7	13	0.4	#56B1F7
#56B1F7	14	1.8	#56B1F7
#56B1F7	14	1.83	#56B1F7
#56B1F7	14	1.82	#56B1F7
#56B1F7	14	1.79	#56B1F7
#56B1F7	14	1.77	#56B1F7
#56B1F7	15	0.58	#56B1F7
#56B1F7	15	0.56	#56B1F7
#56B1F7	15	0.57	#56B1F7
#56B1F7	15	0.58	#56B1F7
#56B1F7	15	0.59	#56B1F7
#56B1F7	16	1.63	#56B1F7
#56B1F7	16	1.69	#56B1F7
#56B1F7	16	1.73	#56B1F7
#56B1F7	16	1.72	#56B1F7
