colour	x	y	fill
#438BC4	1	0.48	#438BC4
#438BC4	1	0.49	#438BC4
#438BC4	1	0.48	#438BC4
#438BC4	1	0.47	#438BC4
#438BC4	1	0.47	#438BC4
#438BC4	1	0.48	#438BC4
#438BC4	1	0.51	#438BC4
#438BC4	1	0.52	#438BC4
#438BC4	1	0.54	#438BC4
#438BC4	1	0.55	#438BC4
#438BC4	1	0.55	#438BC4
#438BC4	1	0.54	#438BC4
#438BC4	2	0.36	#438BC4
#438BC4	2	0.36	#438BC4
#438BC4	2	0.37	#438BC4
#438BC4	2	0.36	#438BC4
#438BC4	2	0.39	#438BC4
#438BC4	2	0.39	#438BC4
#438BC4	2	0.37	#438BC4
#438BC4	2	0.37	#438BC4
#438BC4	2	0.39	#438BC4
#438BC4	2	0.39	#438BC4
#438BC4	2	0.38	#438BC4
#438BC4	2	0.37	#438BC4
#438BC4	4	6.53	#438BC4
#438BC4	4	6.41	#438BC4
#438BC4	4	6.29	#438BC4
#438BC4	4	6.21	#438BC4
#438BC4	4	6.17	#438BC4
#438BC4	4	6	#438BC4
#438BC4	4	5.93	#438BC4
#438BC4	4	5.95	#438BC4
#438BC4	4	6.04	#438BC4
#438BC4	4	6.06	#438BC4
#438BC4	4	6.08	#438BC4
#438BC4	4	6.2	#438BC4
#438BC4	3	7.84	#438BC4
#438BC4	3	7.83	#438BC4
#438BC4	3	7.82	#438BC4
#438BC4	3	7.77	#438BC4
#438BC4	3	7.68	#438BC4
#438BC4	3	7.72	#438BC4
#438BC4	3	7.65	#438BC4
#438BC4	3	7.62	#438BC4
#438BC4	3	7.57	#438BC4
#438BC4	3	7.53	#438BC4
#438BC4	3	7.5	#438BC4
#438BC4	3	7.46	#438BC4
#438BC4	5	0.27	#438BC4
#438BC4	5	0.29	#438BC4
#438BC4	5	0.28	#438BC4
#438BC4	5	0.29	#438BC4
#438BC4	5	0.3	#438BC4
#438BC4	5	0.31	#438BC4
#438BC4	5	0.31	#438BC4
#438BC4	5	0.32	#438BC4
#438BC4	5	0.32	#438BC4
#438BC4	5	0.31	#438BC4
#438BC4	5	0.32	#438BC4
#438BC4	5	0.28	#438BC4
#438BC4	6	0.08	#438BC4
#438BC4	6	0.08	#438BC4
#438BC4	6	0.06	#438BC4
#438BC4	6	0.09	#438BC4
#438BC4	6	0.1	#438BC4
#438BC4	6	0.11	#438BC4
#438BC4	6	0.15	#438BC4
#438BC4	6	0.17	#438BC4
#438BC4	6	0.19	#438BC4
#438BC4	6	0.18	#438BC4
#438BC4	6	0.19	#438BC4
#438BC4	6	0.18	#438BC4
#438BC4	7	0.31	#438BC4
#438BC4	7	0.29	#438BC4
#438BC4	7	0.29	#438BC4
#438BC4	7	0.29	#438BC4
#438BC4	7	0.28	#438BC4
#438BC4	7	0.25	#438BC4
#438BC4	7	0.25	#438BC4
#438BC4	7	0.29	#438BC4
#438BC4	7	0.28	#438BC4
#438BC4	7	0.27	#438BC4
#438BC4	7	0.28	#438BC4
#438BC4	7	0.28	#438BC4
#438BC4	8	0.75	#438BC4
#438BC4	8	0.81	#438BC4
#438BC4	8	0.82	#438BC4
#438BC4	8	0.83	#438BC4
#438BC4	8	0.85	#438BC4
#438BC4	8	0.86	#438BC4
#438BC4	8	0.85	#438BC4
#438BC4	8	0.86	#438BC4
#438BC4	8	0.91	#438BC4
#438BC4	8	0.94	#438BC4
#438BC4	8	0.94	#438BC4
#438BC4	8	0.98	#438BC4
#438BC4	9	0.54	#438BC4
#438BC4	9	0.51	#438BC4
#438BC4	9	0.5	#438BC4
#438BC4	9	0.51	#438BC4
#438BC4	9	0.5	#438BC4
#438BC4	9	0.51	#438BC4
#438BC4	9	0.53	#438BC4
#438BC4	9	0.57	#438BC4
#438BC4	9	0.53	#438BC4
#438BC4	9	0.52	#438BC4
#438BC4	9	0.48	#438BC4
#438BC4	9	0.44	#438BC4
