colour	x	y	fill
#204465	1	0.38	#204465
#204465	1	0.36	#204465
#204465	1	0.36	#204465
#204465	1	0.35	#204465
#204465	1	0.34	#204465
#204465	1	0.32	#204465
#204465	1	0.36	#204465
#204465	1	0.35	#204465
#204465	1	0.39	#204465
#204465	1	0.42	#204465
#204465	1	0.42	#204465
#204465	1	0.43	#204465
#204465	2	0.3	#204465
#204465	2	0.24	#204465
#204465	2	0.24	#204465
#204465	2	0.24	#204465
#204465	2	0.13	#204465
#204465	2	0.09	#204465
#204465	2	0.15	#204465
#204465	2	0.16	#204465
#204465	2	0.18	#204465
#204465	2	0.22	#204465
#204465	2	0.23	#204465
#204465	2	0.3	#204465
#204465	4	8.04	#204465
#204465	4	7.99	#204465
#204465	4	7.99	#204465
#204465	4	7.96	#204465
#204465	4	7.91	#204465
#204465	4	7.93	#204465
#204465	4	7.89	#204465
#204465	4	7.83	#204465
#204465	4	7.94	#204465
#204465	4	8.08	#204465
#204465	4	8.29	#204465
#204465	4	8.47	#204465
#204465	3	6.96	#204465
#204465	3	7.11	#204465
#204465	3	7.14	#204465
#204465	3	7.27	#204465
#204465	3	7.44	#204465
#204465	3	7.66	#204465
#204465	3	7.75	#204465
#204465	3	7.83	#204465
#204465	3	7.96	#204465
#204465	3	7.95	#204465
#204465	3	7.95	#204465
#204465	3	7.83	#204465
#204465	5	0.39	#204465
#204465	5	0.39	#204465
#204465	5	0.39	#204465
#204465	5	0.39	#204465
#204465	5	0.39	#204465
#204465	5	0.39	#204465
#204465	5	0.42	#204465
#204465	5	0.42	#204465
#204465	5	0.44	#204465
#204465	5	0.45	#204465
#204465	5	0.42	#204465
#204465	5	0.41	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	6	0	#204465
#204465	7	1.63	#204465
#204465	7	1.71	#204465
#204465	7	1.67	#204465
#204465	7	1.61	#204465
#204465	7	1.64	#204465
#204465	7	1.72	#204465
#204465	7	1.79	#204465
#204465	7	1.87	#204465
#204465	7	1.88	#204465
#204465	7	1.85	#204465
#204465	7	1.81	#204465
#204465	7	1.74	#204465
#204465	8	0.05	#204465
#204465	8	0.06	#204465
#204465	8	0.05	#204465
#204465	8	0.05	#204465
#204465	8	0.05	#204465
#204465	8	0.09	#204465
#204465	8	0.08	#204465
#204465	8	0.04	#204465
#204465	8	0.07	#204465
#204465	8	0.07	#204465
#204465	8	0.07	#204465
#204465	8	0.05	#204465
#204465	9	0.23	#204465
#204465	9	0.27	#204465
#204465	9	0.28	#204465
#204465	9	0.29	#204465
#204465	9	0.23	#204465
#204465	9	0.17	#204465
#204465	9	0.2	#204465
#204465	9	0.16	#204465
#204465	9	0.16	#204465
#204465	9	0.23	#204465
#204465	9	0.28	#204465
#204465	9	0.38	#204465
#204465	10	0.33	#204465
#204465	10	0.34	#204465
#204465	10	0.36	#204465
#204465	10	0.36	#204465
#204465	10	0.33	#204465
#204465	10	0.34	#204465
#204465	10	0.35	#204465
#204465	10	0.31	#204465
#204465	10	0.31	#204465
#204465	10	0.32	#204465
#204465	10	0.31	#204465
#204465	10	0.3	#204465
#204465	11	30.39	#204465
#204465	11	30.15	#204465
#204465	11	30.11	#204465
#204465	11	30.32	#204465
#204465	11	30.2	#204465
#204465	11	30.32	#204465
#204465	11	30.05	#204465
#204465	11	29.85	#204465
#204465	11	29.57	#204465
#204465	11	28.86	#204465
#204465	11	28.82	#204465
#204465	11	28.57	#204465
#204465	12	8.09	#204465
#204465	12	7.95	#204465
#204465	12	8.11	#204465
#204465	12	8.09	#204465
#204465	12	8.28	#204465
#204465	12	8.25	#204465
#204465	12	8.2	#204465
#204465	12	8.02	#204465
#204465	12	7.87	#204465
#204465	12	7.87	#204465
#204465	12	7.75	#204465
#204465	12	7.73	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	13	0	#204465
#204465	14	0.06	#204465
#204465	14	0.08	#204465
#204465	14	0.08	#204465
#204465	14	0.09	#204465
#204465	14	0.04	#204465
#204465	14	0.04	#204465
#204465	14	0.06	#204465
#204465	14	0.04	#204465
#204465	14	0.04	#204465
#204465	14	0.03	#204465
#204465	14	0.05	#204465
#204465	14	0.1	#204465
#204465	15	0.39	#204465
#204465	15	0.4	#204465
#204465	15	0.43	#204465
#204465	15	0.42	#204465
#204465	15	0.41	#204465
#204465	15	0.44	#204465
#204465	15	0.45	#204465
#204465	15	0.46	#204465
#204465	15	0.46	#204465
#204465	15	0.45	#204465
#204465	15	0.45	#204465
#204465	15	0.42	#204465
#204465	16	2.37	#204465
#204465	16	2.46	#204465
#204465	16	2.53	#204465
#204465	16	2.52	#204465
#204465	16	2.52	#204465
#204465	16	2.54	#204465
#204465	16	2.55	#204465
#204465	16	2.57	#204465
#204465	16	2.55	#204465
#204465	16	2.68	#204465
#204465	16	2.72	#204465
#204465	16	2.76	#204465
#204465	17	0.1	#204465
#204465	17	0.13	#204465
#204465	17	0.11	#204465
#204465	17	0.11	#204465
#204465	17	0.12	#204465
#204465	17	0.08	#204465
#204465	17	0.13	#204465
#204465	17	0.12	#204465
#204465	17	0.15	#204465
#204465	17	0.16	#204465
#204465	17	0.18	#204465
#204465	17	0.21	#204465
#204465	18	4.57	#204465
#204465	18	4.48	#204465
#204465	18	4.34	#204465
#204465	18	4.2	#204465
#204465	18	4.12	#204465
#204465	18	3.98	#204465
#204465	18	4.04	#204465
#204465	18	4.08	#204465
#204465	18	4.09	#204465
#204465	18	4.14	#204465
#204465	18	4.15	#204465
#204465	18	4.18	#204465
#204465	19	19.58	#204465
#204465	19	19.48	#204465
#204465	19	19.14	#204465
#204465	19	19.19	#204465
#204465	19	19.47	#204465
#204465	19	19.67	#204465
#204465	19	19.56	#204465
#204465	19	19.48	#204465
#204465	19	19.66	#204465
#204465	19	19.49	#204465
#204465	19	19.26	#204465
#204465	19	19.07	#204465
#204465	20	0.32	#204465
#204465	20	0.33	#204465
#204465	20	0.33	#204465
#204465	20	0.31	#204465
#204465	20	0.21	#204465
#204465	20	0.16	#204465
#204465	20	0.22	#204465
#204465	20	0.21	#204465
#204465	20	0.18	#204465
#204465	20	0.25	#204465
#204465	20	0.26	#204465
#204465	20	0.31	#204465
#204465	21	4.8	#204465
#204465	21	4.93	#204465
#204465	21	5.04	#204465
#204465	21	5.01	#204465
#204465	21	5.06	#204465
#204465	21	5.03	#204465
#204465	21	5.06	#204465
#204465	21	5.2	#204465
#204465	21	5.27	#204465
#204465	21	5.58	#204465
#204465	21	5.73	#204465
#204465	21	5.89	#204465
#204465	22	0.79	#204465
#204465	22	0.85	#204465
#204465	22	0.85	#204465
#204465	22	0.82	#204465
#204465	22	0.79	#204465
#204465	22	0.77	#204465
#204465	22	0.81	#204465
#204465	22	0.8	#204465
#204465	22	0.83	#204465
#204465	22	0.87	#204465
#204465	22	0.84	#204465
#204465	22	0.9	#204465
#204465	23	2.84	#204465
#204465	23	2.83	#204465
#204465	23	2.87	#204465
#204465	23	2.88	#204465
#204465	23	2.9	#204465
#204465	23	2.94	#204465
#204465	23	2.85	#204465
#204465	23	2.93	#204465
#204465	23	2.87	#204465
#204465	23	2.84	#204465
#204465	23	2.77	#204465
#204465	23	2.69	#204465
#204465	24	0.08	#204465
#204465	24	0.07	#204465
#204465	24	0.06	#204465
#204465	24	0.07	#204465
#204465	24	0.07	#204465
#204465	24	0.03	#204465
#204465	24	0.03	#204465
#204465	24	0.03	#204465
#204465	24	0.05	#204465
#204465	24	0.06	#204465
#204465	24	0.06	#204465
#204465	24	0.06	#204465
#204465	25	0.33	#204465
#204465	25	0.31	#204465
#204465	25	0.32	#204465
#204465	25	0.34	#204465
#204465	25	0.29	#204465
#204465	25	0.12	#204465
#204465	25	0.1	#204465
#204465	25	0.1	#204465
#204465	25	0.07	#204465
#204465	25	0.08	#204465
#204465	25	0.08	#204465
#204465	25	0.17	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	26	0	#204465
#204465	27	0.18	#204465
#204465	27	0.18	#204465
#204465	27	0.18	#204465
#204465	27	0.21	#204465
#204465	27	0.21	#204465
#204465	27	0.03	#204465
#204465	27	0.03	#204465
#204465	27	0.06	#204465
#204465	27	0.07	#204465
#204465	27	0.07	#204465
#204465	27	0.07	#204465
#204465	27	0.09	#204465
#204465	28	1.66	#204465
#204465	28	1.67	#204465
#204465	28	1.69	#204465
#204465	28	1.73	#204465
#204465	28	1.76	#204465
#204465	28	1.77	#204465
#204465	28	1.74	#204465
#204465	28	1.79	#204465
#204465	28	1.75	#204465
#204465	28	1.65	#204465
#204465	28	1.67	#204465
#204465	28	1.68	#204465
#204465	29	5.13	#204465
#204465	29	5.23	#204465
#204465	29	5.34	#204465
#204465	29	5.17	#204465
#204465	29	5.09	#204465
#204465	29	5.1	#204465
#204465	29	5.12	#204465
#204465	29	5.3	#204465
#204465	29	5.18	#204465
#204465	29	5.34	#204465
#204465	29	5.35	#204465
#204465	29	5.28	#204465
