colour	x	y	fill
#275277	1	0.48	#275277
#275277	1	0.49	#275277
#275277	1	0.55	#275277
#275277	1	0.53	#275277
#275277	1	0.58	#275277
#275277	1	0.61	#275277
#275277	1	0.58	#275277
#275277	1	0.6	#275277
#275277	1	0.61	#275277
#275277	1	0.66	#275277
#275277	1	0.63	#275277
#275277	1	0.62	#275277
#275277	2	0.13	#275277
#275277	2	0.14	#275277
#275277	2	0.16	#275277
#275277	2	0.13	#275277
#275277	2	0.12	#275277
#275277	2	0.13	#275277
#275277	2	0.12	#275277
#275277	2	0.13	#275277
#275277	2	0.14	#275277
#275277	2	0.2	#275277
#275277	2	0.21	#275277
#275277	2	0.23	#275277
#275277	4	10.49	#275277
#275277	4	10.75	#275277
#275277	4	10.93	#275277
#275277	4	11.25	#275277
#275277	4	11.48	#275277
#275277	4	11.55	#275277
#275277	4	11.48	#275277
#275277	4	11.56	#275277
#275277	4	11.68	#275277
#275277	4	11.75	#275277
#275277	4	11.81	#275277
#275277	4	11.92	#275277
#275277	3	6.38	#275277
#275277	3	6.33	#275277
#275277	3	6.17	#275277
#275277	3	6.16	#275277
#275277	3	6.16	#275277
#275277	3	6.24	#275277
#275277	3	6.38	#275277
#275277	3	6.38	#275277
#275277	3	6.41	#275277
#275277	3	6.47	#275277
#275277	3	6.55	#275277
#275277	3	6.52	#275277
#275277	5	0.53	#275277
#275277	5	0.49	#275277
#275277	5	0.52	#275277
#275277	5	0.48	#275277
#275277	5	0.51	#275277
#275277	5	0.53	#275277
#275277	5	0.51	#275277
#275277	5	0.54	#275277
#275277	5	0.55	#275277
#275277	5	0.56	#275277
#275277	5	0.52	#275277
#275277	5	0.52	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	6	0	#275277
#275277	7	1.36	#275277
#275277	7	1.31	#275277
#275277	7	1.28	#275277
#275277	7	1.26	#275277
#275277	7	1.25	#275277
#275277	7	1.29	#275277
#275277	7	1.29	#275277
#275277	7	1.25	#275277
#275277	7	1.26	#275277
#275277	7	1.23	#275277
#275277	7	1.21	#275277
#275277	7	1.23	#275277
#275277	8	0.03	#275277
#275277	8	0.03	#275277
#275277	8	0.03	#275277
#275277	8	0.03	#275277
#275277	8	0.03	#275277
#275277	8	0.03	#275277
#275277	8	0.02	#275277
#275277	8	0.02	#275277
#275277	8	0.02	#275277
