colour	x	y	fill
#4EA2E2	1	0.37	#4EA2E2
#4EA2E2	1	0.37	#4EA2E2
#4EA2E2	1	0.4	#4EA2E2
#4EA2E2	1	0.43	#4EA2E2
#4EA2E2	1	0.49	#4EA2E2
#4EA2E2	1	0.51	#4EA2E2
#4EA2E2	1	0.55	#4EA2E2
#4EA2E2	1	0.55	#4EA2E2
#4EA2E2	1	0.57	#4EA2E2
#4EA2E2	1	0.55	#4EA2E2
#4EA2E2	1	0.5	#4EA2E2
#4EA2E2	1	0.5	#4EA2E2
#4EA2E2	2	0.7	#4EA2E2
#4EA2E2	2	0.76	#4EA2E2
#4EA2E2	2	0.79	#4EA2E2
#4EA2E2	2	0.84	#4EA2E2
#4EA2E2	2	0.91	#4EA2E2
#4EA2E2	2	0.89	#4EA2E2
#4EA2E2	2	0.79	#4EA2E2
#4EA2E2	2	0.82	#4EA2E2
#4EA2E2	2	0.89	#4EA2E2
#4EA2E2	2	0.86	#4EA2E2
#4EA2E2	2	0.83	#4EA2E2
#4EA2E2	2	0.79	#4EA2E2
#4EA2E2	4	6.24	#4EA2E2
#4EA2E2	4	6.47	#4EA2E2
#4EA2E2	4	6.63	#4EA2E2
#4EA2E2	4	6.56	#4EA2E2
#4EA2E2	4	6.43	#4EA2E2
#4EA2E2	4	6.43	#4EA2E2
#4EA2E2	4	6.43	#4EA2E2
#4EA2E2	4	6.34	#4EA2E2
#4EA2E2	4	6.47	#4EA2E2
#4EA2E2	4	6.79	#4EA2E2
#4EA2E2	4	6.89	#4EA2E2
#4EA2E2	4	6.95	#4EA2E2
#4EA2E2	3	6.49	#4EA2E2
#4EA2E2	3	6.72	#4EA2E2
#4EA2E2	3	6.79	#4EA2E2
#4EA2E2	3	6.8	#4EA2E2
#4EA2E2	3	6.74	#4EA2E2
#4EA2E2	3	6.81	#4EA2E2
#4EA2E2	3	6.98	#4EA2E2
#4EA2E2	3	6.82	#4EA2E2
#4EA2E2	3	6.95	#4EA2E2
#4EA2E2	3	7.18	#4EA2E2
#4EA2E2	3	7.21	#4EA2E2
#4EA2E2	3	7.19	#4EA2E2
#4EA2E2	5	0.35	#4EA2E2
#4EA2E2	5	0.32	#4EA2E2
#4EA2E2	5	0.31	#4EA2E2
#4EA2E2	5	0.28	#4EA2E2
#4EA2E2	5	0.36	#4EA2E2
#4EA2E2	5	0.35	#4EA2E2
#4EA2E2	5	0.35	#4EA2E2
#4EA2E2	5	0.36	#4EA2E2
#4EA2E2	5	0.4	#4EA2E2
#4EA2E2	5	0.42	#4EA2E2
#4EA2E2	5	0.34	#4EA2E2
#4EA2E2	5	0.31	#4EA2E2
#4EA2E2	6	0.56	#4EA2E2
#4EA2E2	6	0.56	#4EA2E2
#4EA2E2	6	0.58	#4EA2E2
#4EA2E2	6	0.61	#4EA2E2
#4EA2E2	6	0.6	#4EA2E2
#4EA2E2	6	0.6	#4EA2E2
#4EA2E2	6	0.6	#4EA2E2
#4EA2E2	6	0.55	#4EA2E2
#4EA2E2	6	0.56	#4EA2E2
#4EA2E2	6	0.52	#4EA2E2
#4EA2E2	6	0.49	#4EA2E2
#4EA2E2	6	0.45	#4EA2E2
#4EA2E2	7	0.24	#4EA2E2
#4EA2E2	7	0.2	#4EA2E2
#4EA2E2	7	0.23	#4EA2E2
#4EA2E2	7	0.26	#4EA2E2
#4EA2E2	7	0.3	#4EA2E2
#4EA2E2	7	0.29	#4EA2E2
#4EA2E2	7	0.26	#4EA2E2
#4EA2E2	7	0.32	#4EA2E2
#4EA2E2	7	0.29	#4EA2E2
#4EA2E2	7	0.26	#4EA2E2
#4EA2E2	7	0.21	#4EA2E2
#4EA2E2	7	0.2	#4EA2E2
#4EA2E2	8	1.31	#4EA2E2
#4EA2E2	8	1.25	#4EA2E2
#4EA2E2	8	1.24	#4EA2E2
#4EA2E2	8	1.31	#4EA2E2
#4EA2E2	8	1.41	#4EA2E2
#4EA2E2	8	1.43	#4EA2E2
#4EA2E2	8	1.42	#4EA2E2
#4EA2E2	8	1.46	#4EA2E2
