colour	x	y	fill
#193754	1	0.4	#193754
#193754	1	0.41	#193754
#193754	1	0.37	#193754
#193754	1	0.35	#193754
#193754	1	0.34	#193754
#193754	1	0.34	#193754
#193754	1	0.35	#193754
#193754	1	0.35	#193754
#193754	1	0.34	#193754
#193754	1	0.34	#193754
#193754	1	0.36	#193754
#193754	1	0.4	#193754
#193754	2	0.29	#193754
#193754	2	0.32	#193754
#193754	2	0.28	#193754
#193754	2	0.25	#193754
#193754	2	0.24	#193754
#193754	2	0.23	#193754
#193754	2	0.22	#193754
#193754	2	0.2	#193754
#193754	2	0.21	#193754
#193754	2	0.25	#193754
#193754	2	0.25	#193754
#193754	2	0.28	#193754
#193754	4	8.51	#193754
#193754	4	8.4	#193754
#193754	4	8.35	#193754
#193754	4	8.45	#193754
#193754	4	8.52	#193754
#193754	4	8.63	#193754
#193754	4	8.46	#193754
#193754	4	8.43	#193754
#193754	4	8.28	#193754
#193754	4	8.21	#193754
#193754	4	8.15	#193754
#193754	4	8.18	#193754
#193754	3	6.27	#193754
#193754	3	6.36	#193754
#193754	3	6.47	#193754
#193754	3	6.65	#193754
#193754	3	6.62	#193754
#193754	3	6.45	#193754
#193754	3	6.64	#193754
#193754	3	6.78	#193754
#193754	3	6.91	#193754
#193754	3	6.96	#193754
#193754	3	7	#193754
#193754	3	7.05	#193754
#193754	5	0.45	#193754
#193754	5	0.51	#193754
#193754	5	0.48	#193754
#193754	5	0.44	#193754
#193754	5	0.44	#193754
#193754	5	0.44	#193754
#193754	5	0.46	#193754
#193754	5	0.39	#193754
#193754	5	0.41	#193754
#193754	5	0.41	#193754
#193754	5	0.41	#193754
#193754	5	0.4	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	6	0	#193754
#193754	7	2.39	#193754
