colour	x	y	fill
#3C7CB0	1	0.51	#3C7CB0
#3C7CB0	1	0.47	#3C7CB0
#3C7CB0	1	0.45	#3C7CB0
#3C7CB0	1	0.42	#3C7CB0
#3C7CB0	1	0.41	#3C7CB0
#3C7CB0	1	0.41	#3C7CB0
#3C7CB0	1	0.44	#3C7CB0
#3C7CB0	1	0.42	#3C7CB0
#3C7CB0	1	0.42	#3C7CB0
#3C7CB0	1	0.44	#3C7CB0
#3C7CB0	1	0.46	#3C7CB0
#3C7CB0	1	0.44	#3C7CB0
#3C7CB0	2	0.33	#3C7CB0
#3C7CB0	2	0.34	#3C7CB0
#3C7CB0	2	0.34	#3C7CB0
#3C7CB0	2	0.38	#3C7CB0
#3C7CB0	2	0.39	#3C7CB0
#3C7CB0	2	0.41	#3C7CB0
#3C7CB0	2	0.43	#3C7CB0
#3C7CB0	2	0.45	#3C7CB0
#3C7CB0	2	0.52	#3C7CB0
#3C7CB0	2	0.53	#3C7CB0
#3C7CB0	2	0.53	#3C7CB0
#3C7CB0	2	0.53	#3C7CB0
#3C7CB0	4	7.83	#3C7CB0
#3C7CB0	4	7.8	#3C7CB0
#3C7CB0	4	7.65	#3C7CB0
#3C7CB0	4	7.53	#3C7CB0
#3C7CB0	4	7.5	#3C7CB0
#3C7CB0	4	7.4	#3C7CB0
#3C7CB0	4	7.31	#3C7CB0
#3C7CB0	4	7.27	#3C7CB0
#3C7CB0	4	7.27	#3C7CB0
#3C7CB0	4	7.29	#3C7CB0
#3C7CB0	4	7.43	#3C7CB0
#3C7CB0	4	7.61	#3C7CB0
#3C7CB0	3	8.93	#3C7CB0
#3C7CB0	3	8.99	#3C7CB0
#3C7CB0	3	8.97	#3C7CB0
#3C7CB0	3	8.95	#3C7CB0
#3C7CB0	3	9	#3C7CB0
#3C7CB0	3	9	#3C7CB0
#3C7CB0	3	9.05	#3C7CB0
#3C7CB0	3	9.08	#3C7CB0
#3C7CB0	3	9.05	#3C7CB0
#3C7CB0	3	8.99	#3C7CB0
#3C7CB0	3	8.76	#3C7CB0
#3C7CB0	3	8.65	#3C7CB0
#3C7CB0	5	0.32	#3C7CB0
#3C7CB0	5	0.29	#3C7CB0
#3C7CB0	5	0.29	#3C7CB0
#3C7CB0	5	0.32	#3C7CB0
#3C7CB0	5	0.31	#3C7CB0
#3C7CB0	5	0.35	#3C7CB0
#3C7CB0	5	0.35	#3C7CB0
#3C7CB0	5	0.37	#3C7CB0
#3C7CB0	5	0.37	#3C7CB0
#3C7CB0	5	0.34	#3C7CB0
#3C7CB0	5	0.33	#3C7CB0
#3C7CB0	5	0.28	#3C7CB0
#3C7CB0	6	0.14	#3C7CB0
#3C7CB0	6	0.12	#3C7CB0
#3C7CB0	6	0.11	#3C7CB0
#3C7CB0	6	0.1	#3C7CB0
#3C7CB0	6	0.07	#3C7CB0
#3C7CB0	6	0.07	#3C7CB0
#3C7CB0	6	0.06	#3C7CB0
#3C7CB0	6	0.07	#3C7CB0
#3C7CB0	6	0.09	#3C7CB0
#3C7CB0	6	0.09	#3C7CB0
#3C7CB0	6	0.11	#3C7CB0
#3C7CB0	6	0.09	#3C7CB0
#3C7CB0	7	0.51	#3C7CB0
#3C7CB0	7	0.47	#3C7CB0
#3C7CB0	7	0.46	#3C7CB0
#3C7CB0	7	0.45	#3C7CB0
#3C7CB0	7	0.44	#3C7CB0
#3C7CB0	7	0.42	#3C7CB0
#3C7CB0	7	0.39	#3C7CB0
#3C7CB0	7	0.41	#3C7CB0
#3C7CB0	7	0.4	#3C7CB0
#3C7CB0	7	0.4	#3C7CB0
#3C7CB0	7	0.39	#3C7CB0
#3C7CB0	7	0.35	#3C7CB0
#3C7CB0	8	0.29	#3C7CB0
#3C7CB0	8	0.29	#3C7CB0
#3C7CB0	8	0.3	#3C7CB0
#3C7CB0	8	0.34	#3C7CB0
#3C7CB0	8	0.37	#3C7CB0
#3C7CB0	8	0.4	#3C7CB0
#3C7CB0	8	0.44	#3C7CB0
#3C7CB0	8	0.44	#3C7CB0
#3C7CB0	8	0.46	#3C7CB0
#3C7CB0	8	0.43	#3C7CB0
#3C7CB0	8	0.42	#3C7CB0
#3C7CB0	8	0.41	#3C7CB0
#3C7CB0	9	0.4	#3C7CB0
#3C7CB0	9	0.37	#3C7CB0
#3C7CB0	9	0.37	#3C7CB0
#3C7CB0	9	0.38	#3C7CB0
#3C7CB0	9	0.38	#3C7CB0
#3C7CB0	9	0.38	#3C7CB0
