colour	x	y	fill
#4792CE	1	0.51	#4792CE
#4792CE	1	0.49	#4792CE
#4792CE	1	0.47	#4792CE
#4792CE	1	0.46	#4792CE
#4792CE	1	0.48	#4792CE
#4792CE	1	0.47	#4792CE
#4792CE	1	0.47	#4792CE
#4792CE	1	0.48	#4792CE
#4792CE	1	0.47	#4792CE
#4792CE	1	0.46	#4792CE
#4792CE	1	0.48	#4792CE
#4792CE	1	0.52	#4792CE
#4792CE	2	0.38	#4792CE
#4792CE	2	0.37	#4792CE
#4792CE	2	0.34	#4792CE
#4792CE	2	0.33	#4792CE
#4792CE	2	0.35	#4792CE
#4792CE	2	0.37	#4792CE
#4792CE	2	0.39	#4792CE
#4792CE	2	0.4	#4792CE
#4792CE	2	0.41	#4792CE
#4792CE	2	0.39	#4792CE
#4792CE	2	0.36	#4792CE
#4792CE	2	0.32	#4792CE
#4792CE	4	6.14	#4792CE
#4792CE	4	6.1	#4792CE
#4792CE	4	6	#4792CE
#4792CE	4	5.93	#4792CE
#4792CE	4	5.85	#4792CE
#4792CE	4	5.74	#4792CE
#4792CE	4	5.74	#4792CE
#4792CE	4	5.69	#4792CE
#4792CE	4	5.7	#4792CE
#4792CE	4	5.87	#4792CE
#4792CE	4	5.9	#4792CE
#4792CE	4	5.95	#4792CE
#4792CE	3	7.44	#4792CE
#4792CE	3	7.44	#4792CE
#4792CE	3	7.38	#4792CE
#4792CE	3	7.36	#4792CE
#4792CE	3	7.23	#4792CE
#4792CE	3	7.18	#4792CE
#4792CE	3	7.14	#4792CE
#4792CE	3	7.05	#4792CE
#4792CE	3	7.06	#4792CE
#4792CE	3	7.04	#4792CE
#4792CE	3	7.22	#4792CE
#4792CE	3	7.2	#4792CE
#4792CE	5	0.29	#4792CE
#4792CE	5	0.29	#4792CE
#4792CE	5	0.31	#4792CE
#4792CE	5	0.33	#4792CE
#4792CE	5	0.35	#4792CE
#4792CE	5	0.35	#4792CE
#4792CE	5	0.36	#4792CE
#4792CE	5	0.38	#4792CE
#4792CE	5	0.37	#4792CE
#4792CE	5	0.34	#4792CE
#4792CE	5	0.31	#4792CE
#4792CE	5	0.34	#4792CE
#4792CE	6	0.19	#4792CE
#4792CE	6	0.18	#4792CE
#4792CE	6	0.2	#4792CE
#4792CE	6	0.21	#4792CE
#4792CE	6	0.24	#4792CE
#4792CE	6	0.27	#4792CE
#4792CE	6	0.29	#4792CE
#4792CE	6	0.3	#4792CE
#4792CE	6	0.33	#4792CE
#4792CE	6	0.35	#4792CE
#4792CE	6	0.37	#4792CE
