colour	x	y	fill
#16314B	1	0.39	#16314B
#16314B	1	0.37	#16314B
#16314B	1	0.34	#16314B
#16314B	1	0.34	#16314B
#16314B	1	0.35	#16314B
#16314B	1	0.35	#16314B
#16314B	1	0.33	#16314B
#16314B	1	0.32	#16314B
#16314B	1	0.36	#16314B
#16314B	1	0.38	#16314B
#16314B	1	0.38	#16314B
#16314B	1	0.39	#16314B
#16314B	2	0.38	#16314B
#16314B	2	0.39	#16314B
#16314B	2	0.37	#16314B
#16314B	2	0.36	#16314B
#16314B	2	0.37	#16314B
#16314B	2	0.36	#16314B
#16314B	2	0.34	#16314B
#16314B	2	0.3	#16314B
#16314B	2	0.29	#16314B
#16314B	2	0.31	#16314B
#16314B	2	0.28	#16314B
#16314B	2	0.28	#16314B
#16314B	4	9.69	#16314B
#16314B	4	9.86	#16314B
#16314B	4	9.87	#16314B
#16314B	4	9.83	#16314B
#16314B	4	9.7	#16314B
#16314B	4	9.44	#16314B
#16314B	4	9.28	#16314B
#16314B	4	9.14	#16314B
#16314B	4	9.04	#16314B
#16314B	4	8.69	#16314B
#16314B	4	8.48	#16314B
#16314B	4	8.37	#16314B
#16314B	3	5.23	#16314B
#16314B	3	5.2	#16314B
#16314B	3	5.37	#16314B
#16314B	3	5.41	#16314B
#16314B	3	5.61	#16314B
#16314B	3	5.76	#16314B
#16314B	3	6.16	#16314B
#16314B	3	6.14	#16314B
#16314B	3	6.17	#16314B
#16314B	3	6.18	#16314B
#16314B	3	6.31	#16314B
#16314B	3	6.53	#16314B
#16314B	5	0.56	#16314B
#16314B	5	0.49	#16314B
#16314B	5	0.45	#16314B
#16314B	5	0.41	#16314B
#16314B	5	0.4	#16314B
#16314B	5	0.4	#16314B
#16314B	5	0.39	#16314B
#16314B	5	0.4	#16314B
#16314B	5	0.4	#16314B
#16314B	5	0.45	#16314B
#16314B	5	0.45	#16314B
#16314B	5	0.48	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	6	0	#16314B
#16314B	7	2.65	#16314B
#16314B	7	2.66	#16314B
#16314B	7	2.65	#16314B
#16314B	7	2.55	#16314B
