x	y	key	group
1	0.0489457093649458	1	-1
2	0.0011682424795476	2	-1
3	-0.0619928765594531	3	-1
4	0.00721107027891794	4	-1
5	-0.0126920743825723	5	-1
6	-0.100254312521885	6	-1
7	-0.0352243591284987	7	-1
8	-0.0775272265401083	8	-1
9	-0.0817176559277928	9	-1
10	-0.0665209333257682	10	-1
11	0.0027544327618062	11	-1
12	-0.0795349146636735	12	-1
13	-0.0754630308342488	13	-1
14	0.0108556920869197	14	-1
15	-0.0815289558691864	15	-1
16	-0.0242861738302271	16	-1
17	-0.0643708255088904	17	-1
18	-0.0574519866367579	18	-1
19	-0.0499462342910367	19	-1
20	0.0175891700001196	20	-1
21	0.0525334288622534	21	-1
22	0.0392332191491798	22	-1
23	0.0282863687302089	23	-1
24	-0.0631632396808717	24	-1
25	0.0242054938741934	25	-1
26	0.0435309595409164	26	-1
27	-0.0308881264783965	27	-1
28	0.0251449948700686	28	-1
29	0.0699295666978005	29	-1
30	0.0548777674299443	30	-1
31	-0.0236727135397408	31	-1
32	0.0560029881720432	32	-1
33	-0.000353226296392104	33	-1
34	0.0125337209625939	34	-1
35	0.0647405520106204	35	-1
36	0.0569698072999279	36	-1
37	-0.0346938002178365	37	-1
38	-0.069472866347314	38	-1
39	-0.00487483202470497	39	-1
40	-0.00320899345653836	40	-1
41	-0.0762378169676416	41	-1
42	-0.00928368777693171	42	-1
43	0.000988978571797026	43	-1
44	-0.0586708614951741	44	-1
45	0.00218774090161065	45	-1
46	-0.0639670509219957	46	-1
47	0.0023641143492882	47	-1
48	-0.0423251194614516	48	-1
49	-0.0707521517046935	49	-1
50	-0.00125460714475655	50	-1
51	-0.0950713542692008	51	-1
52	-0.0200353390151989	52	-1
53	-0.0818103306132849	53	-1
54	-0.0942096162807685	54	-1
55	-0.111769169301822	55	-1
56	-0.0219333901951056	56	-1
57	-0.0714710709486191	57	-1
58	-0.151370682747928	58	-1
59	-0.0565302968390849	59	-1
60	-0.0349005774314902	60	-1
61	-0.0563248776471458	61	-1
62	-0.141925933160413	62	-1
63	-0.172025261460808	63	-1
64	-0.164615623606312	64	-1
65	-0.103211491473445	65	-1
66	-0.126254013777991	66	-1
67	-0.14947367270374	67	-1
68	-0.166511784742922	68	-1
69	-0.092759072069207	69	-1
70	-0.172448221012523	70	-1
71	-0.172337479051542	71	-1
72	-0.0845611670301284	72	-1
73	-0.176778275683348	73	-1
74	-0.124970488887638	74	-1
75	-0.0981851563944848	75	-1
76	-0.0417039676066343	76	-1
77	-0.101868198179733	77	-1
78	-0.0992582221708549	78	-1
79	-0.162299193536836	79	-1
80	-0.187813067299608	80	-1
81	-0.0988113771428112	81	-1
82	-0.119649556314047	82	-1
83	-0.205156838900134	83	-1
84	-0.203431175521528	84	-1
85	-0.111772251456168	85	-1
86	-0.165816686982038	86	-1
87	-0.113048539600986	87	-1
88	-0.143139587434271	88	-1
89	-0.097056011743463	89	-1
90	-0.0975543013848475	90	-1
91	-0.148445104166082	91	-1
92	-0.196827243063518	92	-1
93	-0.115864990552153	93	-1
94	-0.100029101017958	94	-1
95	-0.105439202766889	95	-1
96	-0.185070585826379	96	-1
97	-0.128908276891431	97	-1
98	-0.189855893490128	98	-1
99	-0.197133341118318	99	-1
100	-0.167108622047149	100	-1
101	-0.12059152472647	101	-1
102	-0.207458440098496	102	-1
103	-0.164697294099831	103	-1
