colour	x	y	showSelectedlegendcolour	fill
#F8766D	2019	0.51	Abap	#F8766D
#F8766D	2019	0.49	Abap	#F8766D
#F8766D	2019	0.47	Abap	#F8766D
#F8766D	2019	0.46	Abap	#F8766D
#F8766D	2019	0.48	Abap	#F8766D
#F8766D	2019	0.47	Abap	#F8766D
#F8766D	2019	0.47	Abap	#F8766D
#F8766D	2019	0.48	Abap	#F8766D
#F8766D	2019	0.47	Abap	#F8766D
#F8766D	2019	0.46	Abap	#F8766D
#F8766D	2019	0.48	Abap	#F8766D
#F8766D	2019	0.52	Abap	#F8766D
#EF7F48	2019	0.38	Ada	#EF7F48
#EF7F48	2019	0.37	Ada	#EF7F48
#EF7F48	2019	0.34	Ada	#EF7F48
#EF7F48	2019	0.33	Ada	#EF7F48
#EF7F48	2019	0.35	Ada	#EF7F48
#EF7F48	2019	0.37	Ada	#EF7F48
#EF7F48	2019	0.39	Ada	#EF7F48
#EF7F48	2019	0.4	Ada	#EF7F48
#EF7F48	2019	0.41	Ada	#EF7F48
#EF7F48	2019	0.39	Ada	#EF7F48
#EF7F48	2019	0.36	Ada	#EF7F48
#EF7F48	2019	0.32	Ada	#EF7F48
#D69100	2019	6.14	C.C..	#D69100
#D69100	2019	6.1	C.C..	#D69100
#D69100	2019	6	C.C..	#D69100
#D69100	2019	5.93	C.C..	#D69100
#D69100	2019	5.85	C.C..	#D69100
#D69100	2019	5.74	C.C..	#D69100
#D69100	2019	5.74	C.C..	#D69100
#D69100	2019	5.69	C.C..	#D69100
#D69100	2019	5.7	C.C..	#D69100
#D69100	2019	5.87	C.C..	#D69100
#D69100	2019	5.9	C.C..	#D69100
#D69100	2019	5.95	C.C..	#D69100
#E48800	2019	7.44	C.	#E48800
#E48800	2019	7.44	C.	#E48800
#E48800	2019	7.38	C.	#E48800
#E48800	2019	7.36	C.	#E48800
#E48800	2019	7.23	C.	#E48800
#E48800	2019	7.18	C.	#E48800
#E48800	2019	7.14	C.	#E48800
#E48800	2019	7.05	C.	#E48800
#E48800	2019	7.06	C.	#E48800
#E48800	2019	7.04	C.	#E48800
#E48800	2019	7.22	C.	#E48800
#E48800	2019	7.2	C.	#E48800
#C69900	2019	0.29	Cobol	#C69900
#C69900	2019	0.29	Cobol	#C69900
#C69900	2019	0.31	Cobol	#C69900
#C69900	2019	0.33	Cobol	#C69900
#C69900	2019	0.35	Cobol	#C69900
#C69900	2019	0.35	Cobol	#C69900
#C69900	2019	0.36	Cobol	#C69900
#C69900	2019	0.38	Cobol	#C69900
#C69900	2019	0.37	Cobol	#C69900
#C69900	2019	0.34	Cobol	#C69900
#C69900	2019	0.31	Cobol	#C69900
#C69900	2019	0.34	Cobol	#C69900
#B4A000	2019	0.19	Dart	#B4A000
#B4A000	2019	0.18	Dart	#B4A000
#B4A000	2019	0.2	Dart	#B4A000
#B4A000	2019	0.21	Dart	#B4A000
#B4A000	2019	0.24	Dart	#B4A000
#B4A000	2019	0.27	Dart	#B4A000
#B4A000	2019	0.29	Dart	#B4A000
#B4A000	2019	0.3	Dart	#B4A000
#B4A000	2019	0.33	Dart	#B4A000
#B4A000	2019	0.35	Dart	#B4A000
#B4A000	2019	0.37	Dart	#B4A000
#B4A000	2019	0.4	Dart	#B4A000
#9EA700	2019	0.3	Delphi.Pascal	#9EA700
#9EA700	2019	0.26	Delphi.Pascal	#9EA700
#9EA700	2019	0.25	Delphi.Pascal	#9EA700
#9EA700	2019	0.27	Delphi.Pascal	#9EA700
#9EA700	2019	0.29	Delphi.Pascal	#9EA700
#9EA700	2019	0.27	Delphi.Pascal	#9EA700
#9EA700	2019	0.25	Delphi.Pascal	#9EA700
#9EA700	2019	0.23	Delphi.Pascal	#9EA700
#9EA700	2019	0.22	Delphi.Pascal	#9EA700
#9EA700	2019	0.2	Delphi.Pascal	#9EA700
#9EA700	2019	0.17	Delphi.Pascal	#9EA700
#9EA700	2019	0.16	Delphi.Pascal	#9EA700
#83AD00	2019	1.01	Go	#83AD00
#83AD00	2019	1.02	Go	#83AD00
#83AD00	2019	1.05	Go	#83AD00
#83AD00	2019	1.06	Go	#83AD00
#83AD00	2019	1.15	Go	#83AD00
#83AD00	2019	1.17	Go	#83AD00
#83AD00	2019	1.19	Go	#83AD00
#83AD00	2019	1.27	Go	#83AD00
#83AD00	2019	1.3	Go	#83AD00
#83AD00	2019	1.27	Go	#83AD00
#83AD00	2019	1.27	Go	#83AD00
#83AD00	2019	1.36	Go	#83AD00
#60B200	2019	0.43	Groovy	#60B200
#60B200	2019	0.41	Groovy	#60B200
#60B200	2019	0.45	Groovy	#60B200
#60B200	2019	0.44	Groovy	#60B200
#60B200	2019	0.48	Groovy	#60B200
#60B200	2019	0.5	Groovy	#60B200
#60B200	2019	0.53	Groovy	#60B200
#60B200	2019	0.54	Groovy	#60B200
#60B200	2019	0.54	Groovy	#60B200
#60B200	2019	0.54	Groovy	#60B200
#60B200	2019	0.52	Groovy	#60B200
#60B200	2019	0.53	Groovy	#60B200
#19B700	2019	0.27	Haskell	#19B700
#19B700	2019	0.29	Haskell	#19B700
#19B700	2019	0.29	Haskell	#19B700
#19B700	2019	0.28	Haskell	#19B700
#19B700	2019	0.27	Haskell	#19B700
#19B700	2019	0.24	Haskell	#19B700
#19B700	2019	0.22	Haskell	#19B700
#19B700	2019	0.24	Haskell	#19B700
#19B700	2019	0.28	Haskell	#19B700
#19B700	2019	0.29	Haskell	#19B700
#19B700	2019	0.3	Haskell	#19B700
#19B700	2019	0.33	Haskell	#19B700
#00BB48	2019	20.99	Java	#00BB48
#00BB48	2019	20.79	Java	#00BB48
#00BB48	2019	20.61	Java	#00BB48
#00BB48	2019	20.44	Java	#00BB48
#00BB48	2019	20.15	Java	#00BB48
#00BB48	2019	19.95	Java	#00BB48
#00BB48	2019	19.72	Java	#00BB48
#00BB48	2019	19.47	Java	#00BB48
#00BB48	2019	19.16	Java	#00BB48
#00BB48	2019	18.98	Java	#00BB48
#00BB48	2019	18.94	Java	#00BB48
#00BB48	2019	18.72	Java	#00BB48
#00BE6B	2019	8.14	JavaScript	#00BE6B
#00BE6B	2019	8.1	JavaScript	#00BE6B
#00BE6B	2019	8.13	JavaScript	#00BE6B
#00BE6B	2019	8.17	JavaScript	#00BE6B
#00BE6B	2019	8.19	JavaScript	#00BE6B
#00BE6B	2019	8.19	JavaScript	#00BE6B
#00BE6B	2019	8.09	JavaScript	#00BE6B
#00BE6B	2019	8.04	JavaScript	#00BE6B
#00BE6B	2019	7.94	JavaScript	#00BE6B
#00BE6B	2019	7.98	JavaScript	#00BE6B
#00BE6B	2019	8	JavaScript	#00BE6B
#00BE6B	2019	7.92	JavaScript	#00BE6B
#00C088	2019	0.3	Julia	#00C088
#00C088	2019	0.34	Julia	#00C088
