colour	x	y	showSelectedlegendcolour	fill
#F8766D	2010	0.48	Abap	#F8766D
#F8766D	2010	0.49	Abap	#F8766D
#F8766D	2010	0.55	Abap	#F8766D
#F8766D	2010	0.53	Abap	#F8766D
#F8766D	2010	0.58	Abap	#F8766D
#F8766D	2010	0.61	Abap	#F8766D
#F8766D	2010	0.58	Abap	#F8766D
#F8766D	2010	0.6	Abap	#F8766D
#F8766D	2010	0.61	Abap	#F8766D
#F8766D	2010	0.66	Abap	#F8766D
#F8766D	2010	0.63	Abap	#F8766D
#F8766D	2010	0.62	Abap	#F8766D
#EF7F48	2010	0.13	Ada	#EF7F48
#EF7F48	2010	0.14	Ada	#EF7F48
#EF7F48	2010	0.16	Ada	#EF7F48
#EF7F48	2010	0.13	Ada	#EF7F48
#EF7F48	2010	0.12	Ada	#EF7F48
#EF7F48	2010	0.13	Ada	#EF7F48
#EF7F48	2010	0.12	Ada	#EF7F48
#EF7F48	2010	0.13	Ada	#EF7F48
#EF7F48	2010	0.14	Ada	#EF7F48
#EF7F48	2010	0.2	Ada	#EF7F48
#EF7F48	2010	0.21	Ada	#EF7F48
#EF7F48	2010	0.23	Ada	#EF7F48
#D69100	2010	10.49	C.C..	#D69100
#D69100	2010	10.75	C.C..	#D69100
#D69100	2010	10.93	C.C..	#D69100
#D69100	2010	11.25	C.C..	#D69100
#D69100	2010	11.48	C.C..	#D69100
#D69100	2010	11.55	C.C..	#D69100
#D69100	2010	11.48	C.C..	#D69100
#D69100	2010	11.56	C.C..	#D69100
#D69100	2010	11.68	C.C..	#D69100
#D69100	2010	11.75	C.C..	#D69100
#D69100	2010	11.81	C.C..	#D69100
#D69100	2010	11.92	C.C..	#D69100
#E48800	2010	6.38	C.	#E48800
#E48800	2010	6.33	C.	#E48800
#E48800	2010	6.17	C.	#E48800
#E48800	2010	6.16	C.	#E48800
#E48800	2010	6.16	C.	#E48800
#E48800	2010	6.24	C.	#E48800
#E48800	2010	6.38	C.	#E48800
#E48800	2010	6.38	C.	#E48800
#E48800	2010	6.41	C.	#E48800
#E48800	2010	6.47	C.	#E48800
#E48800	2010	6.55	C.	#E48800
#E48800	2010	6.52	C.	#E48800
#C69900	2010	0.53	Cobol	#C69900
#C69900	2010	0.49	Cobol	#C69900
#C69900	2010	0.52	Cobol	#C69900
#C69900	2010	0.48	Cobol	#C69900
#C69900	2010	0.51	Cobol	#C69900
#C69900	2010	0.53	Cobol	#C69900
#C69900	2010	0.51	Cobol	#C69900
#C69900	2010	0.54	Cobol	#C69900
#C69900	2010	0.55	Cobol	#C69900
#C69900	2010	0.56	Cobol	#C69900
#C69900	2010	0.52	Cobol	#C69900
#C69900	2010	0.52	Cobol	#C69900
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#B4A000	2010	0	Dart	#B4A000
#9EA700	2010	1.36	Delphi.Pascal	#9EA700
#9EA700	2010	1.31	Delphi.Pascal	#9EA700
#9EA700	2010	1.28	Delphi.Pascal	#9EA700
#9EA700	2010	1.26	Delphi.Pascal	#9EA700
#9EA700	2010	1.25	Delphi.Pascal	#9EA700
#9EA700	2010	1.29	Delphi.Pascal	#9EA700
#9EA700	2010	1.29	Delphi.Pascal	#9EA700
#9EA700	2010	1.25	Delphi.Pascal	#9EA700
#9EA700	2010	1.26	Delphi.Pascal	#9EA700
#9EA700	2010	1.23	Delphi.Pascal	#9EA700
#9EA700	2010	1.21	Delphi.Pascal	#9EA700
#9EA700	2010	1.23	Delphi.Pascal	#9EA700
#83AD00	2010	0.03	Go	#83AD00
#83AD00	2010	0.03	Go	#83AD00
#83AD00	2010	0.03	Go	#83AD00
#83AD00	2010	0.03	Go	#83AD00
#83AD00	2010	0.03	Go	#83AD00
#83AD00	2010	0.03	Go	#83AD00
#83AD00	2010	0.02	Go	#83AD00
#83AD00	2010	0.02	Go	#83AD00
#83AD00	2010	0.02	Go	#83AD00
#83AD00	2010	0.03	Go	#83AD00
#83AD00	2010	0.04	Go	#83AD00
#83AD00	2010	0.03	Go	#83AD00
#60B200	2010	0.32	Groovy	#60B200
#60B200	2010	0.34	Groovy	#60B200
#60B200	2010	0.37	Groovy	#60B200
#60B200	2010	0.37	Groovy	#60B200
#60B200	2010	0.37	Groovy	#60B200
#60B200	2010	0.38	Groovy	#60B200
#60B200	2010	0.38	Groovy	#60B200
#60B200	2010	0.4	Groovy	#60B200
