colour	x	y	showSelectedlegendcolour	fill
#F8766D	2022	0.42	Abap	#F8766D
#F8766D	2022	0.43	Abap	#F8766D
#F8766D	2022	0.41	Abap	#F8766D
#F8766D	2022	0.41	Abap	#F8766D
#F8766D	2022	0.42	Abap	#F8766D
#F8766D	2022	0.4	Abap	#F8766D
#F8766D	2022	0.45	Abap	#F8766D
#F8766D	2022	0.44	Abap	#F8766D
#F8766D	2022	0.45	Abap	#F8766D
#F8766D	2022	0.48	Abap	#F8766D
#F8766D	2022	0.48	Abap	#F8766D
#F8766D	2022	0.5	Abap	#F8766D
#EF7F48	2022	0.73	Ada	#EF7F48
#EF7F48	2022	0.64	Ada	#EF7F48
#EF7F48	2022	0.59	Ada	#EF7F48
#EF7F48	2022	0.62	Ada	#EF7F48
#EF7F48	2022	0.57	Ada	#EF7F48
#EF7F48	2022	0.65	Ada	#EF7F48
#EF7F48	2022	0.73	Ada	#EF7F48
#EF7F48	2022	0.78	Ada	#EF7F48
#EF7F48	2022	0.77	Ada	#EF7F48
#EF7F48	2022	0.79	Ada	#EF7F48
#EF7F48	2022	0.85	Ada	#EF7F48
#EF7F48	2022	0.88	Ada	#EF7F48
#D69100	2022	7.43	C.C..	#D69100
#D69100	2022	7.49	C.C..	#D69100
#D69100	2022	7.39	C.C..	#D69100
#D69100	2022	7.15	C.C..	#D69100
#D69100	2022	6.99	C.C..	#D69100
#D69100	2022	6.75	C.C..	#D69100
#D69100	2022	6.22	C.C..	#D69100
#D69100	2022	6.2	C.C..	#D69100
#D69100	2022	6.25	C.C..	#D69100
#D69100	2022	6.34	C.C..	#D69100
#D69100	2022	6.52	C.C..	#D69100
#D69100	2022	6.68	C.C..	#D69100
#E48800	2022	7.29	C.	#E48800
#E48800	2022	7.46	C.	#E48800
#E48800	2022	7.35	C.	#E48800
#E48800	2022	7.21	C.	#E48800
#E48800	2022	7.24	C.	#E48800
#E48800	2022	7.26	C.	#E48800
#E48800	2022	7.05	C.	#E48800
#E48800	2022	6.95	C.	#E48800
#E48800	2022	7.03	C.	#E48800
#E48800	2022	6.99	C.	#E48800
#E48800	2022	6.95	C.	#E48800
#E48800	2022	6.93	C.	#E48800
#C69900	2022	0.23	Cobol	#C69900
#C69900	2022	0.2	Cobol	#C69900
#C69900	2022	0.18	Cobol	#C69900
#C69900	2022	0.21	Cobol	#C69900
#C69900	2022	0.22	Cobol	#C69900
#C69900	2022	0.23	Cobol	#C69900
#C69900	2022	0.26	Cobol	#C69900
#C69900	2022	0.32	Cobol	#C69900
#C69900	2022	0.34	Cobol	#C69900
#C69900	2022	0.33	Cobol	#C69900
#C69900	2022	0.34	Cobol	#C69900
#C69900	2022	0.35	Cobol	#C69900
#B4A000	2022	0.4	Dart	#B4A000
#B4A000	2022	0.5	Dart	#B4A000
