colour	x	y	showSelectedlegendcolour	fill
#F8766D	2016	0.51	Abap	#F8766D
#F8766D	2016	0.47	Abap	#F8766D
#F8766D	2016	0.45	Abap	#F8766D
#F8766D	2016	0.42	Abap	#F8766D
#F8766D	2016	0.41	Abap	#F8766D
#F8766D	2016	0.41	Abap	#F8766D
#F8766D	2016	0.44	Abap	#F8766D
#F8766D	2016	0.42	Abap	#F8766D
#F8766D	2016	0.42	Abap	#F8766D
#F8766D	2016	0.44	Abap	#F8766D
#F8766D	2016	0.46	Abap	#F8766D
#F8766D	2016	0.44	Abap	#F8766D
#EF7F48	2016	0.33	Ada	#EF7F48
#EF7F48	2016	0.34	Ada	#EF7F48
#EF7F48	2016	0.34	Ada	#EF7F48
#EF7F48	2016	0.38	Ada	#EF7F48
#EF7F48	2016	0.39	Ada	#EF7F48
#EF7F48	2016	0.41	Ada	#EF7F48
#EF7F48	2016	0.43	Ada	#EF7F48
#EF7F48	2016	0.45	Ada	#EF7F48
#EF7F48	2016	0.52	Ada	#EF7F48
#EF7F48	2016	0.53	Ada	#EF7F48
#EF7F48	2016	0.53	Ada	#EF7F48
#EF7F48	2016	0.53	Ada	#EF7F48
#D69100	2016	7.83	C.C..	#D69100
#D69100	2016	7.8	C.C..	#D69100
#D69100	2016	7.65	C.C..	#D69100
#D69100	2016	7.53	C.C..	#D69100
#D69100	2016	7.5	C.C..	#D69100
#D69100	2016	7.4	C.C..	#D69100
#D69100	2016	7.31	C.C..	#D69100
#D69100	2016	7.27	C.C..	#D69100
#D69100	2016	7.27	C.C..	#D69100
#D69100	2016	7.29	C.C..	#D69100
#D69100	2016	7.43	C.C..	#D69100
#D69100	2016	7.61	C.C..	#D69100
#E48800	2016	8.93	C.	#E48800
#E48800	2016	8.99	C.	#E48800
#E48800	2016	8.97	C.	#E48800
#E48800	2016	8.95	C.	#E48800
#E48800	2016	9	C.	#E48800
#E48800	2016	9	C.	#E48800
#E48800	2016	9.05	C.	#E48800
#E48800	2016	9.08	C.	#E48800
#E48800	2016	9.05	C.	#E48800
#E48800	2016	8.99	C.	#E48800
#E48800	2016	8.76	C.	#E48800
#E48800	2016	8.65	C.	#E48800
#C69900	2016	0.32	Cobol	#C69900
#C69900	2016	0.29	Cobol	#C69900
#C69900	2016	0.29	Cobol	#C69900
#C69900	2016	0.32	Cobol	#C69900
#C69900	2016	0.31	Cobol	#C69900
#C69900	2016	0.35	Cobol	#C69900
#C69900	2016	0.35	Cobol	#C69900
#C69900	2016	0.37	Cobol	#C69900
#C69900	2016	0.37	Cobol	#C69900
#C69900	2016	0.34	Cobol	#C69900
#C69900	2016	0.33	Cobol	#C69900
#C69900	2016	0.28	Cobol	#C69900
#B4A000	2016	0.14	Dart	#B4A000
#B4A000	2016	0.12	Dart	#B4A000
#B4A000	2016	0.11	Dart	#B4A000
#B4A000	2016	0.1	Dart	#B4A000
#B4A000	2016	0.07	Dart	#B4A000
#B4A000	2016	0.07	Dart	#B4A000
#B4A000	2016	0.06	Dart	#B4A000
#B4A000	2016	0.07	Dart	#B4A000
#B4A000	2016	0.09	Dart	#B4A000
#B4A000	2016	0.09	Dart	#B4A000
#B4A000	2016	0.11	Dart	#B4A000
#B4A000	2016	0.09	Dart	#B4A000
#9EA700	2016	0.51	Delphi.Pascal	#9EA700
#9EA700	2016	0.47	Delphi.Pascal	#9EA700
#9EA700	2016	0.46	Delphi.Pascal	#9EA700
#9EA700	2016	0.45	Delphi.Pascal	#9EA700
#9EA700	2016	0.44	Delphi.Pascal	#9EA700
#9EA700	2016	0.42	Delphi.Pascal	#9EA700
#9EA700	2016	0.39	Delphi.Pascal	#9EA700
#9EA700	2016	0.41	Delphi.Pascal	#9EA700
#9EA700	2016	0.4	Delphi.Pascal	#9EA700
#9EA700	2016	0.4	Delphi.Pascal	#9EA700
#9EA700	2016	0.39	Delphi.Pascal	#9EA700
#9EA700	2016	0.35	Delphi.Pascal	#9EA700
#83AD00	2016	0.29	Go	#83AD00
#83AD00	2016	0.29	Go	#83AD00
#83AD00	2016	0.3	Go	#83AD00
#83AD00	2016	0.34	Go	#83AD00
#83AD00	2016	0.37	Go	#83AD00
#83AD00	2016	0.4	Go	#83AD00
#83AD00	2016	0.44	Go	#83AD00
#83AD00	2016	0.44	Go	#83AD00
#83AD00	2016	0.46	Go	#83AD00
#83AD00	2016	0.43	Go	#83AD00
#83AD00	2016	0.42	Go	#83AD00
#83AD00	2016	0.41	Go	#83AD00
#60B200	2016	0.4	Groovy	#60B200
#60B200	2016	0.37	Groovy	#60B200
#60B200	2016	0.37	Groovy	#60B200
#60B200	2016	0.38	Groovy	#60B200
#60B200	2016	0.38	Groovy	#60B200
#60B200	2016	0.38	Groovy	#60B200
#60B200	2016	0.4	Groovy	#60B200
#60B200	2016	0.43	Groovy	#60B200
#60B200	2016	0.43	Groovy	#60B200
#60B200	2016	0.44	Groovy	#60B200
#60B200	2016	0.44	Groovy	#60B200
#60B200	2016	0.42	Groovy	#60B200
#19B700	2016	0.3	Haskell	#19B700
#19B700	2016	0.32	Haskell	#19B700
#19B700	2016	0.34	Haskell	#19B700
#19B700	2016	0.34	Haskell	#19B700
#19B700	2016	0.33	Haskell	#19B700
#19B700	2016	0.34	Haskell	#19B700
#19B700	2016	0.33	Haskell	#19B700
