colour	x	y	showSelectedlegendcolour	fill
#F8766D	2006	0.4	Abap	#F8766D
#F8766D	2006	0.41	Abap	#F8766D
#F8766D	2006	0.37	Abap	#F8766D
#F8766D	2006	0.35	Abap	#F8766D
#F8766D	2006	0.34	Abap	#F8766D
#F8766D	2006	0.34	Abap	#F8766D
#F8766D	2006	0.35	Abap	#F8766D
#F8766D	2006	0.35	Abap	#F8766D
#F8766D	2006	0.34	Abap	#F8766D
#F8766D	2006	0.34	Abap	#F8766D
#F8766D	2006	0.36	Abap	#F8766D
#F8766D	2006	0.4	Abap	#F8766D
#EF7F48	2006	0.29	Ada	#EF7F48
#EF7F48	2006	0.32	Ada	#EF7F48
#EF7F48	2006	0.28	Ada	#EF7F48
#EF7F48	2006	0.25	Ada	#EF7F48
#EF7F48	2006	0.24	Ada	#EF7F48
#EF7F48	2006	0.23	Ada	#EF7F48
#EF7F48	2006	0.22	Ada	#EF7F48
#EF7F48	2006	0.2	Ada	#EF7F48
#EF7F48	2006	0.21	Ada	#EF7F48
#EF7F48	2006	0.25	Ada	#EF7F48
#EF7F48	2006	0.25	Ada	#EF7F48
#EF7F48	2006	0.28	Ada	#EF7F48
#D69100	2006	8.51	C.C..	#D69100
#D69100	2006	8.4	C.C..	#D69100
#D69100	2006	8.35	C.C..	#D69100
#D69100	2006	8.45	C.C..	#D69100
#D69100	2006	8.52	C.C..	#D69100
#D69100	2006	8.63	C.C..	#D69100
#D69100	2006	8.46	C.C..	#D69100
#D69100	2006	8.43	C.C..	#D69100
#D69100	2006	8.28	C.C..	#D69100
#D69100	2006	8.21	C.C..	#D69100
#D69100	2006	8.15	C.C..	#D69100
#D69100	2006	8.18	C.C..	#D69100
#E48800	2006	6.27	C.	#E48800
#E48800	2006	6.36	C.	#E48800
#E48800	2006	6.47	C.	#E48800
#E48800	2006	6.65	C.	#E48800
#E48800	2006	6.62	C.	#E48800
#E48800	2006	6.45	C.	#E48800
#E48800	2006	6.64	C.	#E48800
#E48800	2006	6.78	C.	#E48800
#E48800	2006	6.91	C.	#E48800
#E48800	2006	6.96	C.	#E48800
#E48800	2006	7	C.	#E48800
#E48800	2006	7.05	C.	#E48800
#C69900	2006	0.45	Cobol	#C69900
#C69900	2006	0.51	Cobol	#C69900
#C69900	2006	0.48	Cobol	#C69900
#C69900	2006	0.44	Cobol	#C69900
#C69900	2006	0.44	Cobol	#C69900
#C69900	2006	0.44	Cobol	#C69900
#C69900	2006	0.46	Cobol	#C69900
#C69900	2006	0.39	Cobol	#C69900
#C69900	2006	0.41	Cobol	#C69900
#C69900	2006	0.41	Cobol	#C69900
#C69900	2006	0.41	Cobol	#C69900
#C69900	2006	0.4	Cobol	#C69900
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#B4A000	2006	0	Dart	#B4A000
#9EA700	2006	2.39	Delphi.Pascal	#9EA700
#9EA700	2006	2.48	Delphi.Pascal	#9EA700
#9EA700	2006	2.39	Delphi.Pascal	#9EA700
#9EA700	2006	2.17	Delphi.Pascal	#9EA700
#9EA700	2006	2.06	Delphi.Pascal	#9EA700
#9EA700	2006	1.92	Delphi.Pascal	#9EA700
#9EA700	2006	1.91	Delphi.Pascal	#9EA700
#9EA700	2006	1.86	Delphi.Pascal	#9EA700
#9EA700	2006	1.95	Delphi.Pascal	#9EA700
#9EA700	2006	2.02	Delphi.Pascal	#9EA700
#9EA700	2006	1.99	Delphi.Pascal	#9EA700
#9EA700	2006	1.96	Delphi.Pascal	#9EA700
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#83AD00	2006	0	Go	#83AD00
#60B200	2006	0.09	Groovy	#60B200
#60B200	2006	0.09	Groovy	#60B200
#60B200	2006	0.1	Groovy	#60B200
#60B200	2006	0.11	Groovy	#60B200
#60B200	2006	0.11	Groovy	#60B200
#60B200	2006	0.11	Groovy	#60B200
#60B200	2006	0.09	Groovy	#60B200
