colour	x	y	showSelectedlegendcolour	fill
#F8766D	2004	0.34	Abap	#F8766D
#F8766D	2004	0.35	Abap	#F8766D
#F8766D	2004	0.41	Abap	#F8766D
#F8766D	2004	0.4	Abap	#F8766D
#F8766D	2004	0.38	Abap	#F8766D
#F8766D	2004	0.36	Abap	#F8766D
#EF7F48	2004	0.36	Ada	#EF7F48
#EF7F48	2004	0.36	Ada	#EF7F48
#EF7F48	2004	0.41	Ada	#EF7F48
#EF7F48	2004	0.38	Ada	#EF7F48
#EF7F48	2004	0.38	Ada	#EF7F48
#EF7F48	2004	0.37	Ada	#EF7F48
#D69100	2004	10.01	C.C..	#D69100
#D69100	2004	9.74	C.C..	#D69100
#D69100	2004	9.59	C.C..	#D69100
#D69100	2004	9.47	C.C..	#D69100
#D69100	2004	9.48	C.C..	#D69100
#D69100	2004	9.53	C.C..	#D69100
#E48800	2004	4.68	C.	#E48800
#E48800	2004	4.96	C.	#E48800
#E48800	2004	5.04	C.	#E48800
#E48800	2004	5.29	C.	#E48800
#E48800	2004	5.22	C.	#E48800
#E48800	2004	5.22	C.	#E48800
#C69900	2004	0.42	Cobol	#C69900
#C69900	2004	0.46	Cobol	#C69900
#C69900	2004	0.51	Cobol	#C69900
#C69900	2004	0.53	Cobol	#C69900
#C69900	2004	0.55	Cobol	#C69900
#C69900	2004	0.53	Cobol	#C69900
#B4A000	2004	0	Dart	#B4A000
#B4A000	2004	0	Dart	#B4A000
#B4A000	2004	0	Dart	#B4A000
#B4A000	2004	0	Dart	#B4A000
#B4A000	2004	0	Dart	#B4A000
#B4A000	2004	0	Dart	#B4A000
#9EA700	2004	2.8	Delphi.Pascal	#9EA700
#9EA700	2004	2.65	Delphi.Pascal	#9EA700
#9EA700	2004	2.64	Delphi.Pascal	#9EA700
#9EA700	2004	2.76	Delphi.Pascal	#9EA700
#9EA700	2004	2.75	Delphi.Pascal	#9EA700
#9EA700	2004	2.76	Delphi.Pascal	#9EA700
#83AD00	2004	0	Go	#83AD00
#83AD00	2004	0	Go	#83AD00
#83AD00	2004	0	Go	#83AD00
#83AD00	2004	0	Go	#83AD00
#83AD00	2004	0	Go	#83AD00
#83AD00	2004	0	Go	#83AD00
#60B200	2004	0.03	Groovy	#60B200
#60B200	2004	0.07	Groovy	#60B200
#60B200	2004	0.08	Groovy	#60B200
#60B200	2004	0.09	Groovy	#60B200
